Type ,Case,Size,Swaps,Greater,Equals,Order
QUICK_CUT,RANDOM,1000,3990,13891,0,17881
QUICK_CUT,RANDOM,1000,4008,13283,0,17291
QUICK_CUT,RANDOM,1000,4013,13478,0,17491
QUICK_CUT,RANDOM,1000,3958,13944,0,17902
QUICK_CUT,RANDOM,1000,3998,13881,0,17879
QUICK_CUT,RANDOM,1000,4012,13639,0,17651
QUICK_CUT,RANDOM,1000,3947,13962,0,17909
QUICK_CUT,RANDOM,1000,3998,13889,0,17887
QUICK_CUT,RANDOM,1000,3955,14225,0,18180
QUICK_CUT,RANDOM,1000,3966,13681,0,17647
QUICK_CUT,RANDOM,1000,4038,13271,0,17309
QUICK_CUT,RANDOM,1000,3981,13597,0,17578
QUICK_CUT,RANDOM,1000,3974,14038,0,18012
QUICK_CUT,RANDOM,1000,3989,13508,0,17497
QUICK_CUT,RANDOM,1000,3999,14707,0,18706
QUICK_CUT,RANDOM,1000,4040,13763,0,17803
QUICK_CUT,RANDOM,1000,3984,13091,0,17075
QUICK_CUT,RANDOM,1000,3933,15047,0,18980
QUICK_CUT,RANDOM,1000,3979,14148,0,18127
QUICK_CUT,RANDOM,1000,4056,13268,0,17324
QUICK_CUT,RANDOM,1000,4036,13155,0,17191
QUICK_CUT,RANDOM,1000,3983,13633,0,17616
QUICK_CUT,RANDOM,1000,4031,14532,0,18563
QUICK_CUT,RANDOM,1000,3964,14081,0,18045
QUICK_CUT,RANDOM,1000,3966,14241,0,18207
QUICK_CUT,RANDOM,10000,48016,171860,0,219876
QUICK_CUT,RANDOM,10000,47903,177248,0,225151
QUICK_CUT,RANDOM,10000,47240,186946,0,234186
QUICK_CUT,RANDOM,10000,47806,179444,0,227250
QUICK_CUT,RANDOM,10000,47534,189731,0,237265
QUICK_CUT,RANDOM,10000,47545,182100,0,229645
QUICK_CUT,RANDOM,10000,47886,177114,0,225000
QUICK_CUT,RANDOM,10000,47669,178137,0,225806
QUICK_CUT,RANDOM,10000,47401,184882,0,232283
QUICK_CUT,RANDOM,10000,47658,181855,0,229513
QUICK_CUT,RANDOM,10000,48006,181143,0,229149
QUICK_CUT,RANDOM,10000,47602,181799,0,229401
QUICK_CUT,RANDOM,10000,47294,187998,0,235292
QUICK_CUT,RANDOM,10000,47781,182664,0,230445
QUICK_CUT,RANDOM,10000,47689,179028,0,226717
QUICK_CUT,RANDOM,10000,46971,193231,0,240202
QUICK_CUT,RANDOM,10000,47877,175025,0,222902
QUICK_CUT,RANDOM,10000,47401,180920,0,228321
QUICK_CUT,RANDOM,10000,48055,175722,0,223777
QUICK_CUT,RANDOM,10000,47824,177198,0,225022
QUICK_CUT,RANDOM,10000,47662,181758,0,229420
QUICK_CUT,RANDOM,10000,47983,174674,0,222657
QUICK_CUT,RANDOM,10000,47183,192083,0,239266
QUICK_CUT,RANDOM,10000,47262,188864,0,236126
QUICK_CUT,RANDOM,10000,47624,177719,0,225343
QUICK_CUT,RANDOM,100000,555984,2201464,0,2757448
QUICK_CUT,RANDOM,100000,552798,2232109,0,2784907
QUICK_CUT,RANDOM,100000,555358,2184244,0,2739602
QUICK_CUT,RANDOM,100000,550481,2283559,0,2834040
QUICK_CUT,RANDOM,100000,556113,2186617,0,2742730
QUICK_CUT,RANDOM,100000,554829,2236818,0,2791647
QUICK_CUT,RANDOM,100000,553596,2226599,0,2780195
QUICK_CUT,RANDOM,100000,556275,2201186,0,2757461
QUICK_CUT,RANDOM,100000,553571,2293001,0,2846572
QUICK_CUT,RANDOM,100000,556338,2210411,0,2766749
QUICK_CUT,RANDOM,100000,553434,2269812,0,2823246
QUICK_CUT,RANDOM,100000,558181,2139926,0,2698107
QUICK_CUT,RANDOM,100000,555918,2197347,0,2753265
QUICK_CUT,RANDOM,100000,554714,2258421,0,2813135
QUICK_CUT,RANDOM,100000,555158,2202003,0,2757161
QUICK_CUT,RANDOM,100000,552846,2281912,0,2834758
QUICK_CUT,RANDOM,100000,556124,2198657,0,2754781
QUICK_CUT,RANDOM,100000,552473,2262023,0,2814496
QUICK_CUT,RANDOM,100000,554222,2260886,0,2815108
QUICK_CUT,RANDOM,100000,555013,2224711,0,2779724
QUICK_CUT,RANDOM,100000,554496,2234470,0,2788966
QUICK_CUT,RANDOM,100000,556242,2179454,0,2735696
QUICK_CUT,RANDOM,100000,554456,2226418,0,2780874
QUICK_CUT,RANDOM,100000,555084,2227057,0,2782141
QUICK_CUT,RANDOM,100000,553268,2230985,0,2784253
QUICK_CUT,RANDOM,1000000,6344174,26126291,0,32470465
QUICK_CUT,RANDOM,1000000,6263971,27503025,0,33766996
QUICK_CUT,RANDOM,1000000,6290554,27181596,0,33472150
QUICK_CUT,RANDOM,1000000,6334759,26629230,0,32963989
QUICK_CUT,RANDOM,1000000,6283526,27464221,0,33747747
QUICK_CUT,RANDOM,1000000,6355654,26001449,0,32357103
QUICK_CUT,RANDOM,1000000,6312570,26855000,0,33167570
QUICK_CUT,RANDOM,1000000,6309199,26791398,0,33100597
QUICK_CUT,RANDOM,1000000,6295436,27053284,0,33348720
QUICK_CUT,RANDOM,1000000,6342057,26082528,0,32424585
QUICK_CUT,RANDOM,1000000,6287441,26852452,0,33139893
QUICK_CUT,RANDOM,1000000,6345687,26077923,0,32423610
QUICK_CUT,RANDOM,1000000,6330394,26630545,0,32960939
QUICK_CUT,RANDOM,1000000,6336560,26281926,0,32618486
QUICK_CUT,RANDOM,1000000,6327366,26297397,0,32624763
QUICK_CUT,RANDOM,1000000,6328257,26645919,0,32974176
QUICK_CUT,RANDOM,1000000,6335496,26252125,0,32587621
QUICK_CUT,RANDOM,1000000,6273756,28051936,0,34325692
QUICK_CUT,RANDOM,1000000,6341379,26393806,0,32735185
QUICK_CUT,RANDOM,1000000,6358244,26129573,0,32487817
QUICK_CUT,RANDOM,1000000,6299685,27530996,0,33830681
QUICK_CUT,RANDOM,1000000,6257963,28903172,0,35161135
QUICK_CUT,RANDOM,1000000,6285941,28282422,0,34568363
QUICK_CUT,RANDOM,1000000,6351543,25916987,0,32268530
QUICK_CUT,RANDOM,1000000,6333380,26238048,0,32571428
